"CCRYP_KC8782" "CDUBI_KC8779" "CDUBI_KC8780" "CDUBI_KC8781" "CGRAY_KC8769" "CGRAY_KC8770" "CGRAY_KC8771" "CHAMU_KC8582" "CHAMU_KC8601" "CHAMU_KC8602" "CNERT_KC8482" "CNERT_KC8483" "CNERT_KC8484" "CRUST_KC8774" "CRUST_KC8775" "CSETO_KC8659" "CSETO_KC8660" "CSETO_KC8661" "CTENE_KC8583" "CTENE_KC8585" "CTENE_KC8587" "OAUST_KC8577" "OAUST_KC8579" "OAUST_KC8580" "OINCO_KC8597" "OINCO_KC8598" "PFALL_KC8497" "PFALL_KC8498" "PFALL_KC8499" "PHORS_KC8784" "PHORS_KC8785" "PLUCI_KC8540" "PLUCI_KC8783" "PPALL_KC8786"
"OG0000000" 1036 16817 16817 16817 13921 13921 13921 8670 8670 8670 14787 14787 14787 2817 2817 11109 11109 11109 29327 29327 29327 29080 29080 29080 64262 64262 9063 9063 9063 3599 3599 19586 19586 3318
"OG0000001" 1315 11330 11330 11330 17458 17458 17458 3667 3667 3667 23052 23052 23052 15995 15995 12139 12139 12139 27701 27701 27701 23513 23513 23513 57721 57721 15388 15388 15388 5854 5854 28966 28966 2235
"OG0000002" 983 20334 20334 20334 19399 19399 19399 7388 7388 7388 14821 14821 14821 11502 11502 4027 4027 4027 41690 41690 41690 22144 22144 22144 29081 29081 6697 6697 6697 3347 3347 3791 3791 1153
"OG0000003" 860 17269 17269 17269 22291 22291 22291 4816 4816 4816 18010 18010 18010 10413 10413 6537 6537 6537 37848 37848 37848 19796 19796 19796 25014 25014 4723 4723 4723 4066 4066 6603 6603 1754
"OG0000004" 4763 10356 10356 10356 12305 12305 12305 4855 4855 4855 5849 5849 5849 5873 5873 5198 5198 5198 18979 18979 18979 20357 20357 20357 24283 24283 10244 10244 10244 9797 9797 14634 14634 2958
"OG0000006" 10438 25260 25260 25260 11473 11473 11473 12222 12222 12222 9300 9300 9300 8499 8499 13876 13876 13876 13443 13443 13443 21654 21654 21654 19599 19599 16178 16178 16178 11789 11789 24069 24069 13349
"OG0000008" 3395 14056 14056 14056 12371 12371 12371 4248 4248 4248 7501 7501 7501 6466 6466 6685 6685 6685 16019 16019 16019 15846 15846 15846 23837 23837 8013 8013 8013 5130 5130 10055 10055 6640
"OG0000010" 10700 4683 4683 4683 1435 1435 1435 1445 1445 1445 7398 7398 7398 10738 10738 2357 2357 2357 8841 8841 8841 8481 8481 8481 4213 4213 8217 8217 8217 7961 7961 8079 8079 7489
"OG0000011" 5524 6919 6919 6919 5690 5690 5690 6199 6199 6199 3976 3976 3976 10320 10320 7165 7165 7165 9634 9634 9634 7813 7813 7813 13848 13848 6734 6734 6734 6857 6857 6373 6373 2944
"OG0000012" 3784 19775 19775 19775 8336 8336 8336 9091 9091 9091 7975 7975 7975 10943 10943 3345 3345 3345 18614 18614 18614 14513 14513 14513 16982 16982 3553 3553 3553 10141 10141 4893 4893 3111
"OG0000013" 3004 12418 12418 12418 9921 9921 9921 5062 5062 5062 2977 2977 2977 6537 6537 4199 4199 4199 10582 10582 10582 9047 9047 9047 8688 8688 5059 5059 5059 7148 7148 7263 7263 4720
"OG0000014" 8072 11021 11021 11021 14124 14124 14124 2987 2987 2987 8426 8426 8426 2695 2695 6871 6871 6871 20979 20979 20979 10864 10864 10864 20182 20182 6132 6132 6132 3537 3537 3741 3741 5861
"OG0000015" 4139 6929 6929 6929 15441 15441 15441 17809 17809 17809 14320 14320 14320 13887 13887 7302 7302 7302 13309 13309 13309 20141 20141 20141 28683 28683 17340 17340 17340 5870 5870 13782 13782 6326
"OG0000016" 8851 3638 3638 3638 4839 4839 4839 5986 5986 5986 5114 5114 5114 8303 8303 1257 1257 1257 7491 7491 7491 8507 8507 8507 9623 9623 5228 5228 5228 4328 4328 5338 5338 3346
"OG0000017" 2727 16157 16157 16157 6121 6121 6121 4474 4474 4474 5120 5120 5120 1564 1564 12890 12890 12890 9637 9637 9637 7227 7227 7227 24254 24254 767 767 767 1561 1561 2398 2398 1993
"OG0000018" 361 18211 18211 18211 25035 25035 25035 5209 5209 5209 6212 6212 6212 8039 8039 1899 1899 1899 6326 6326 6326 7993 7993 7993 53237 53237 1959 1959 1959 4186 4186 6183 6183 400
