"CCRYP_KC8782" "CDUBI_KC8779" "CDUBI_KC8780" "CDUBI_KC8781" "CGRAY_KC8769" "CGRAY_KC8770" "CGRAY_KC8771" "CHAMU_KC8582" "CHAMU_KC8601" "CHAMU_KC8602" "CNERT_KC8482" "CNERT_KC8483" "CNERT_KC8484" "CRUST_KC8774" "CRUST_KC8775" "CSETO_KC8659" "CSETO_KC8660" "CSETO_KC8661" "CTENE_KC8583" "CTENE_KC8585" "CTENE_KC8587" "OAUST_KC8577" "OAUST_KC8579" "OAUST_KC8580" "OINCO_KC8597" "OINCO_KC8598" "PFALL_KC8497" "PFALL_KC8498" "PFALL_KC8499" "PHORS_KC8784" "PHORS_KC8785" "PLUCI_KC8540" "PLUCI_KC8783" "PPALL_KC8786"
"OG0000000" 70.87 262.2 353.17 373.32 135.13 123.92 788.17 73.28 279.23 585.55 159.77 124.67 419.18 37.47 40.75 206.18 158.72 215.89 638.97 633.79 262.75 147.69 689.09 452.44 2751.47 3001.3 155.18 135.67 31.54 80.29 101.92 522.87 529.41 178.61
"OG0000001" 56 270.76 220 315.59 285.25 150.27 1133.07 48 53.48 182.16 366.89 425.68 710.4 626.15 694.63 332.01 215.68 195.28 888.19 844.6 526.11 150.96 800.38 567.25 1806.48 3004.07 529.57 496.83 312.67 118.72 263.01 738.87 678.11 97.47
"OG0000002" 30.82 401.11 810.06 1772.55 298 354.78 1060.06 213 405.36 1143.7 345.1 349.78 367.72 1957.68 373.49 306.24 303.78 956.4 1225.94 1584.28 515.66 244.98 1102.25 798.15 1923.61 1966.16 100.1 275.86 471.41 34.94 49.36 68.15 96.83 46.51
"OG0000003" 44.46 469.7 627.02 661.52 795.83 388.08 2258.13 76.04 289.71 513.58 6151.43 4144.6 397.21 450.42 519.42 423.25 354 962.11 1227.15 2251.88 475.81 234.17 474.63 747.58 1254.17 1511.82 91.97 177.27 121.47 227.53 268.48 220.37 197.73 122.37
"OG0000004" 5788.87 515.22 463.39 287.8 2351.66 714.9 5621.13 85.51 501.27 463.05 462.54 444.79 778.52 234 969.25 236.43 365.8 729.99 2378.53 2909.77 884.76 1749.19 4805.25 12260.27 2807.36 3521.43 586.76 764.91 383.12 791.74 1262.79 700.4 1222.37 1021.64
"OG0000006" 1701.38 2115.68 3544.67 3138.69 1289.44 784.28 3210.49 635.56 1454.49 3396.02 384.95 472.66 1095.93 401.99 527.54 1720.35 1657.13 3340.59 1270.87 2153.5 959.94 935.18 2086.26 2219.69 4570.38 6218.1 1122.64 1922.62 1168.22 2421.6 2484.98 11928.81 9349.3 1911.22
"OG0000008" 10578.08 2362.41 2294.41 892.55 1496.11 276.6 1872.1 462.05 2715.83 3587.97 3204.6 4044.22 8966.01 136.96 654.45 383.5 392.96 427.87 4432.56 5460.56 1273.89 701.51 1822.6 3472.23 2495.1 2788.36 249.81 318.02 149.99 169 338.37 554.15 1732.3 1012.74
"OG0000010" 6437.19 1098.12 1470.15 1940.24 972.9 504.5 2456.02 547.26 1104.75 2709.24 568.21 1090.85 1907.38 6091.52 4701.17 2330.71 2749.44 9543.84 3653.14 6512.63 1469.68 161.03 452.33 579.39 3666.57 4341.47 3531.84 6235.23 6760.18 2981.41 4512.09 13063.25 10764.7 3306.68
"OG0000011" 8622.56 8909.18 13260.21 16845.26 332.13 152.6 1088.48 3660.7 13128.23 24614.08 2492.5 3191.31 5950.31 1411.69 3423.83 10615.45 10434.94 21813.74 4212.44 5496.12 1564.11 432.85 1082.65 1488.58 14603.58 18605.7 1993.66 4115.39 3193.76 4512.56 6773.49 9099.22 9635.04 6483.12
"OG0000012" 224.12 779.86 1206.72 855.2 385.75 264.85 1385.64 120.37 410.86 912.33 119.82 252.13 392.99 213.82 628.87 64.1 106.19 173.31 892.07 1029.03 390.76 134.21 320.02 353.22 732.88 1334.83 106 215.51 214.72 1226.97 2509.29 147.41 206.05 160.85
